session_id,start_time,end_time,duration,keypresses
130,2020-08-12 13:59:35.785,2020-08-12 14:01:06.772,0 days 00:01:30.987000,39
131,2020-08-12 14:38:27.450,2020-08-12 14:39:46.537,0 days 00:01:19.087000,192
132,2020-08-12 14:59:38.350,2020-08-12 14:59:50.668,0 days 00:00:12.318000,34
133,2020-08-12 19:25:23.446,2020-08-12 19:25:38.353,0 days 00:00:14.907000,33
134,2020-08-12 19:28:50.505,2020-08-12 19:29:32.722,0 days 00:00:42.217000,73
135,2020-08-12 20:17:11.023,2020-08-12 20:17:16.895,0 days 00:00:05.872000,27
136,2020-08-12 20:30:26.452,2020-08-12 20:30:27.448,0 days 00:00:00.996000,6
137,2020-08-12 21:11:02.027,2020-08-12 21:11:03.271,0 days 00:00:01.244000,7
138,2020-08-12 21:42:23.884,2020-08-12 21:43:01.583,0 days 00:00:37.699000,26
139,2020-08-12 21:47:14.629,2020-08-12 21:47:17.426,0 days 00:00:02.797000,12
140,2020-08-12 22:12:11.002,2020-08-12 22:12:18.686,0 days 00:00:07.684000,22
141,2020-08-13 04:49:52.499,2020-08-13 04:49:57.999,0 days 00:00:05.500000,22
142,2020-08-13 07:05:27.866,2020-08-13 07:06:07.635,0 days 00:00:39.769000,56
143,2020-08-13 09:20:35.047,2020-08-13 09:21:11.515,0 days 00:00:36.468000,18
144,2020-08-13 09:29:33.817,2020-08-13 09:29:35.929,0 days 00:00:02.112000,8
145,2020-08-13 09:30:42.465,2020-08-13 09:33:08.572,0 days 00:02:26.107000,204
146,2020-08-13 09:39:41.386,2020-08-13 09:41:30.885,0 days 00:01:49.499000,294
147,2020-08-13 09:42:33.917,2020-08-13 09:42:40.595,0 days 00:00:06.678000,15
148,2020-08-13 09:50:27.676,2020-08-13 09:50:43.264,0 days 00:00:15.588000,16
149,2020-08-13 10:06:20.109,2020-08-13 10:06:45.421,0 days 00:00:25.312000,82
150,2020-08-13 10:10:46.766,2020-08-13 10:12:44.171,0 days 00:01:57.405000,115
151,2020-08-13 10:14:54.845,2020-08-13 10:15:07.249,0 days 00:00:12.404000,35
152,2020-08-13 10:46:54.838,2020-08-13 10:49:05.502,0 days 00:02:10.664000,221
153,2020-08-13 10:50:58.190,2020-08-13 10:56:01.890,0 days 00:05:03.700000,522
154,2020-08-13 11:00:42.877,2020-08-13 11:00:59.420,0 days 00:00:16.543000,26
155,2020-08-13 11:14:25.943,2020-08-13 11:14:26.897,0 days 00:00:00.954000,6
156,2020-08-13 11:17:20.518,2020-08-13 11:18:26.424,0 days 00:01:05.906000,210
157,2020-08-13 11:40:57.243,2020-08-13 11:41:56.814,0 days 00:00:59.571000,185
158,2020-08-13 11:52:03.428,2020-08-13 11:52:25.866,0 days 00:00:22.438000,61
159,2020-08-13 11:54:17.050,2020-08-13 11:54:20.622,0 days 00:00:03.572000,12
160,2020-08-13 11:56:46.134,2020-08-13 11:56:51.922,0 days 00:00:05.788000,13
161,2020-08-13 11:59:01.604,2020-08-13 11:59:12.483,0 days 00:00:10.879000,12
162,2020-08-13 12:11:33.826,2020-08-13 12:12:42.501,0 days 00:01:08.675000,23
163,2020-08-13 12:22:23.575,2020-08-13 12:22:32.560,0 days 00:00:08.985000,19
164,2020-08-13 12:24:04.908,2020-08-13 12:25:59.279,0 days 00:01:54.371000,257
165,2020-08-13 12:29:32.676,2020-08-13 12:30:43.374,0 days 00:01:10.698000,135
166,2020-08-13 12:33:07.458,2020-08-13 12:36:54.250,0 days 00:03:46.792000,530
167,2020-08-13 12:38:13.247,2020-08-13 12:40:03.989,0 days 00:01:50.742000,76
168,2020-08-13 12:41:08.784,2020-08-13 12:41:39.368,0 days 00:00:30.584000,89
169,2020-08-13 12:43:45.168,2020-08-13 12:43:46.268,0 days 00:00:01.100000,5
170,2020-08-13 12:46:27.376,2020-08-13 12:46:31.707,0 days 00:00:04.331000,18
171,2020-08-13 12:54:16.508,2020-08-13 12:54:21.992,0 days 00:00:05.484000,22
172,2020-08-13 12:57:06.260,2020-08-13 12:58:52.982,0 days 00:01:46.722000,224
173,2020-08-13 13:01:51.189,2020-08-13 13:02:46.220,0 days 00:00:55.031000,40
174,2020-08-13 13:08:20.751,2020-08-13 13:09:25.219,0 days 00:01:04.468000,58
175,2020-08-13 13:13:41.899,2020-08-13 13:15:19.762,0 days 00:01:37.863000,131
176,2020-08-13 13:17:02.535,2020-08-13 13:20:13.250,0 days 00:03:10.715000,238
177,2020-08-13 13:33:16.369,2020-08-13 13:33:18.689,0 days 00:00:02.320000,13
178,2020-08-13 13:43:58.810,2020-08-13 13:44:50.901,0 days 00:00:52.091000,155
179,2020-08-13 13:53:16.623,2020-08-13 13:54:29.124,0 days 00:01:12.501000,82
180,2020-08-13 13:57:01.843,2020-08-13 13:57:47.908,0 days 00:00:46.065000,76
181,2020-08-13 13:58:47.962,2020-08-13 13:58:51.044,0 days 00:00:03.082000,6
182,2020-08-13 14:04:09.588,2020-08-13 14:04:33.482,0 days 00:00:23.894000,83
183,2020-08-13 14:07:20.962,2020-08-13 14:07:38.897,0 days 00:00:17.935000,40
184,2020-08-13 14:48:38.648,2020-08-13 14:49:58.456,0 days 00:01:19.808000,140
185,2020-08-13 14:51:00.128,2020-08-13 14:51:10.496,0 days 00:00:10.368000,22
186,2020-08-13 15:04:26.444,2020-08-13 15:06:20.119,0 days 00:01:53.675000,171
187,2020-08-13 15:07:21.188,2020-08-13 15:08:08.205,0 days 00:00:47.017000,113
188,2020-08-13 16:47:26.251,2020-08-13 16:48:53.851,0 days 00:01:27.600000,37
189,2020-08-13 16:51:01.529,2020-08-13 16:51:05.398,0 days 00:00:03.869000,19
190,2020-08-13 16:57:27.100,2020-08-13 16:59:53.779,0 days 00:02:26.679000,120
191,2020-08-13 18:04:25.300,2020-08-13 18:05:01.732,0 days 00:00:36.432000,98
