session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
75,2020-08-11T15:20:28.578000000,2020-08-11T15:22:39.439000000,2020-08-11T15:20:28.578000000,2020-08-11T15:22:39.439000000,130861000000 nanoseconds,356
76,2020-08-11T15:49:35.466000000,2020-08-11T15:53:23.385000000,2020-08-11T15:49:35.466000000,2020-08-11T15:53:23.385000000,227919000000 nanoseconds,410
77,2020-08-11T15:54:36.070000000,2020-08-11T15:55:31.499000000,2020-08-11T15:54:36.070000000,2020-08-11T15:55:31.499000000,55429000000 nanoseconds,121
78,2020-08-11T15:58:07.119000000,2020-08-11T16:03:53.417000000,2020-08-11T15:58:07.119000000,2020-08-11T16:03:53.417000000,346298000000 nanoseconds,495
79,2020-08-11T16:05:44.463000000,2020-08-11T16:06:14.982000000,2020-08-11T16:05:44.463000000,2020-08-11T16:06:14.982000000,30519000000 nanoseconds,75
80,2020-08-11T17:37:44.309000000,2020-08-11T17:37:45.048000000,2020-08-11T17:37:44.309000000,2020-08-11T17:37:45.048000000,739000000 nanoseconds,6
81,2020-08-11T19:01:06.126000000,2020-08-11T19:01:18.918000000,2020-08-11T19:01:06.126000000,2020-08-11T19:01:18.918000000,12792000000 nanoseconds,12
82,2020-08-11T19:51:43.924000000,2020-08-11T19:51:57.093000000,2020-08-11T19:51:43.924000000,2020-08-11T19:51:57.093000000,13169000000 nanoseconds,32
83,2020-08-11T21:49:17.303000000,2020-08-11T21:57:38.279000000,2020-08-11T21:49:17.303000000,2020-08-11T21:57:38.279000000,500976000000 nanoseconds,779
84,2020-08-11T21:59:29.417000000,2020-08-11T22:05:11.900000000,2020-08-11T21:59:29.417000000,2020-08-11T22:05:11.900000000,342483000000 nanoseconds,501
85,2020-08-11T22:06:24.968000000,2020-08-11T22:06:27.887000000,2020-08-11T22:06:24.968000000,2020-08-11T22:06:27.887000000,2919000000 nanoseconds,10
86,2020-08-11T22:07:46.209000000,2020-08-11T22:08:15.047000000,2020-08-11T22:07:46.209000000,2020-08-11T22:08:15.047000000,28838000000 nanoseconds,35
